"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"FIN",3850,2191,1659,112.5741052,-74.09133084,38.48277436
"FIN",3943,1930,2013,85.7401006,-100.14281874,-14.40271814
"FIN",3942,1813,2129,92.8579482,-95.40140334,-2.54345514
"FIN",3983,2155,1828,103.1954968,-85.18499458,18.01050222
"FIN",3994,2133,1861,105.8493359,-86.76772694,19.08160896
"FIN",3892,2088,1804,107.3540701,-80.63008604,26.72398406
"FIN",3976,1872,2104,89.4650508,-100.50175464,-11.03670384
"FIN",3809,1806,2003,94.3472962,-91.99236448,2.35493172
"FIN",3899,2139,1760,96.7539296,-89.93933898,6.81459062
"FIN",3805,1910,1895,92.8149238,-90.55719154,2.25773226
"FIN",3925,1921,2004,95.5350958,-93.16231984,2.37277596
"FIN",3955,2345,1610,116.3830668,-75.00656944,41.37649736
"FIN",3869,1869,2000,97.0902727,-86.38542514,10.70484756
"FIN",3843,1787,2056,75.0838664,-109.69873818,-34.61487178
"FIN",3852,1978,1874,92.1652377,-91.06261008,1.10262762
"FIN",3909,1906,2003,92.5155336,-94.05053858,-1.53500498
"FIN",3939,1941,1998,97.1972293,-93.10356668,4.09366262
"FIN",3834,1967,1867,89.2979395,-94.95080818,-5.65286868
"FIN",4016,1986,2030,96.6767676,-96.00656748,0.67020012
"FIN",3921,2030,1891,98.6166535,-91.80827218,6.80838132
"FIN",3903,2103,1800,106.6215822,-79.17462604,27.44695616
"FIN",3836,1850,1986,95.5257493,-89.17948228,6.34626702
"FIN",3854,1814,2040,91.1528591,-95.52234534,-4.36948624
"FIN",3838,2088,1750,102.3797173,-80.55942888,21.82028842
"FIN",3822,1914,1908,86.9898024,-96.73410008,-9.74429768
"FIN",3854,1838,2016,88.9962999,-99.23071684,-10.23441694
"FIN",3871,1879,1992,88.074482,-96.67726544,-8.60278344
"FIN",3890,2107,1783,112.827092,-77.14497134,35.68212066
"FIN",3875,1811,2064,81.1870806,-101.46265688,-20.27557628
"FIN",3940,1973,1967,106.172839,-84.84719574,21.32564326
"FIN",3811,1908,1903,91.5610302,-93.15601798,-1.59498778
"FIN",3855,1903,1952,82.5607772,-99.89089798,-17.33012078
"FIN",3898,1859,2039,91.5635531,-95.87944568,-4.31589258
"FIN",3986,1981,2005,101.8348152,-91.59768668,10.23712852
"FIN",3808,2420,1388,118.2858325,-66.69410258,51.59172992
"FIN",3927,2107,1820,109.6565152,-80.20576774,29.45074746
"FIN",3812,1657,2155,83.8997063,-100.56154968,-16.66184338
"FIN",4009,2208,1801,115.3523126,-76.35522618,38.99708642
