"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"FIN",1283,611,672,62.96923,-66.65963,-3.6904
"FIN",1317,608,709,61.3623,-70.67684,-9.31454
"FIN",1368,807,561,81.52844,-55.69918,25.82926
"FIN",1292,677,615,66.06899,-61.98409,4.0849
"CHS",1302,699,603,65.95502,-62.90878,3.04624
"CHS",1275,664,611,65.70931,-61.4029,4.30641
"CHS",1308,787,521,76.52122,-53.46588,23.05534
"CHS",1285,807,478,78.79506,-48.95235,29.84271
"CHS",1277,651,626,63.18508,-63.69864,-0.51356
"CHS",1352,753,599,74.08818,-61.02719,13.06099
"CHS",1321,649,672,60.86236,-69.93716,-9.0748
"CHS",1289,797,492,78.0322,-50.34263,27.68957
"CHS",1307,784,523,77.14444,-53.19538,23.94906
"CHS",1303,806,497,78.45527,-50.65686,27.79841
"CHS",1403,944,459,90.79017,-48.44158,42.34859
"CHS",1292,690,602,66.98298,-61.25022,5.73276
"CHS",1353,876,477,85.69749,-48.72614,36.97135
"CHS",1265,725,540,70.77014,-54.98268,15.78746
"CHS",1316,790,526,78.03309,-53.19943,24.83366
"CHS",1305,773,532,76.2408,-53.83942,22.40138
"CHS",1309,814,495,80.05823,-50.53065,29.52758
"CHS",1248,646,602,62.83655,-61.21978,1.61677
"CHS",1300,701,599,67.91902,-60.89373,7.02529
"CHS",1270,639,631,62.35265,-63.91356,-1.56091
"CHS",1337,802,535,78.87611,-55.27602,23.60009
"CHS",1320,787,533,74.97285,-55.69173,19.28112
"CHS",1357,960,397,92.81475,-41.79191,51.02284
"CHS",1288,759,529,74.05094,-53.93946,20.11148
"CHS",1336,841,495,83.66712,-50.76031,32.90681
"CHS",1276,654,622,64.42266,-62.43312,1.98954
"CHS",1277,673,604,66.34555,-60.95525,5.3903
"CHS",1261,796,465,77.76354,-47.72026,30.04328
"CHS",1282,706,576,68.76393,-58.79569,9.96824
"CHS",1320,730,590,69.24362,-60.94401,8.29961
"CHS",1252,713,539,69.55616,-55.0474,14.50876
"CHS",1336,858,478,83.82342,-48.88193,34.94149
"CHS",1326,941,385,94.9233,-38.73382,56.18948
"CHS",1371,948,423,95.34093,-42.57208,52.76885
"CHS",1354,876,478,85.44564,-49.42248,36.02316
"CHS",1301,836,465,81.12189,-48.1507,32.97119
"CHS",1313,837,476,81.16518,-48.96101,32.20417
"CHS",1270,721,549,70.04495,-56.06362,13.98133
"CHS",1270,707,563,69.34137,-57.31092,12.03045
"CHS",1265,688,577,66.84985,-58.8909,7.95895
"CHS",1271,724,547,71.11165,-55.57654,15.53511
"CHS",1384,1079,305,108.16027,-31.04857,77.1117
"PUR",1321,819,502,78.65045,-52.1888,26.46165
"PUR",1266,474,792,47.44249,-79.48083,-32.03834
"PUR",1355,785,570,77.06628,-58.8095,18.25678
"CHS",1315,869,446,84.87527,-45.92376,38.95151
"CHS",1323,852,471,82.82126,-48.48919,34.33207
"CHS",1325,886,439,86.42301,-45.29399,41.12902
"CHS",1349,822,527,81.50904,-53.13524,28.3738
"CHS",1339,907,432,88.23086,-44.73955,43.49131
"CHS",1342,875,467,86.07327,-47.80401,38.26926
"CHS",1330,922,408,92.97672,-40.72353,52.25319
"CHS",1281,760,521,75.00571,-53.0278,21.97791
"CHS",1311,815,496,79.99421,-50.74267,29.25154
"CHS",1304,874,430,86.12994,-43.59328,42.53666
"CHS",1331,838,493,83.03708,-50.0466,32.99048
"CHS",1375,866,509,84.44955,-52.40523,32.04432
"CHS",1294,509,785,48.22575,-79.94365,-31.7179
"CHS",1283,788,495,77.52129,-50.33207,27.18922
"CHS",1324,841,483,81.6681,-50.11054,31.55756
"CHS",1341,837,504,80.31025,-52.53375,27.7765
"CHS",1284,754,530,73.94776,-53.85028,20.09748
"CHS",1258,679,579,65.77428,-59.46713,6.30715
"CHS",1302,661,641,64.82822,-65.60123,-0.77301
"CHS",1276,800,476,78.37162,-48.87801,29.49361
"CHS",1293,800,493,78.02602,-50.61193,27.41409
"CHS",1245,636,609,62.03317,-61.89467,0.1385
"CHS",1309,819,490,82.14257,-49.29214,32.85043
"CHS",1277,570,707,54.89142,-72.00702,-17.1156
"CHS",1272,772,500,76.14408,-50.64322,25.50086
"CHS",1306,794,512,77.57297,-52.31426,25.25871
"CHS",1285,757,528,75.45393,-53.22136,22.23257
"CHS",1297,726,571,71.40777,-57.9508,13.45697
"CHS",1298,882,416,87.94498,-42.44554,45.49944
"CHS",1384,892,492,85.78652,-51.52699,34.25953
"CHS",1321,810,511,79.01588,-52.4749,26.54098
"CHS",1343,900,443,88.10117,-45.32754,42.77363
"CHS",1302,873,429,88.17243,-43.10375,45.06868
"CHS",1291,790,501,77.32877,-51.15571,26.17306
"CHS",1287,636,651,62.07968,-66.15527,-4.07559
"PUR",1319,490,829,45.32106,-85.49048,-40.16942
"PUR",1322,708,614,72.61034,-61.07545,11.53489
"PUR",1335,824,511,79.16395,-52.68606,26.47789
"PUR",1306,857,449,85.57349,-45.68997,39.88352
"CHS",1262,764,498,74.32367,-51.1089,23.21477
"CHS",1318,764,554,75.13215,-56.16758,18.96457
"CHS",1271,671,600,66.50209,-60.45913,6.04296
"CHS",1284,693,591,67.28484,-60.18614,7.0987
"CHS",1376,934,442,89.78829,-46.66441,43.12388
