"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"FIN",8939,4799,4140,242.718117087,-215.35849424,27.359622847
"FIN",8914,4926,3988,280.957605014,-184.60539366,96.352211354
"FIN",8739,4416,4323,212.986306814,-233.98664626,-21.000339446
"FIN",8772,4787,3985,235.825893974,-210.86801938,24.957874594
"FIN",8812,4480,4332,248.420207407,-207.36719798,41.053009427
"FIN",8734,4552,4182,226.229011544,-219.80930732,6.419704224
"FIN",8746,3903,4843,204.758290314,-243.13714066,-38.378850346
"FIN",8746,4674,4072,262.923665514,-190.50714616,72.416519354
"FIN",8791,4145,4646,215.724935844,-231.44961232,-15.724676476
"FIN",8496,4292,4204,211.969118214,-224.30024266,-12.331124446
"FIN",8815,4461,4354,228.378163944,-224.36374592,4.014418024
"FIN",8821,4834,3987,259.425310224,-193.51122868,65.914081544
"FIN",8939,4610,4329,238.565551474,-218.04337278,20.522178694
"FIN",8838,4553,4285,251.101503294,-204.69329832,46.408204974
"FIN",8781,4802,3979,244.580631364,-205.03931386,39.541317504
"FIN",8731,4308,4423,224.197360527,-223.12736422,1.069996307
"FIN",8776,4786,3990,255.669073677,-198.23949102,57.429582657
"FIN",8862,4051,4811,191.691368674,-261.12993248,-69.438563806
"FIN",8671,4150,4521,216.186045714,-230.98416056,-14.798114846
"FIN",8688,4485,4203,215.851967294,-225.66989242,-9.817925126
"FIN",8780,4907,3873,247.379953117,-200.25323828,47.126714837
"FIN",8997,4619,4378,244.090641244,-219.16571952,24.924921724
"FIN",8822,5154,3668,284.524925024,-177.59305978,106.931865244
"FIN",8692,4389,4303,238.063199054,-209.26437522,28.798823834
"FIN",8721,4055,4666,176.163972144,-265.13061002,-88.966637876
"FIN",8828,4700,4128,232.753430464,-215.36295166,17.390478804
"FIN",8696,4112,4584,202.833650664,-238.43252926,-35.598878596
"FIN",8855,3948,4907,196.288515257,-256.40665888,-60.118143623
"FIN",8689,4257,4432,208.615868074,-238.22151126,-29.605643186
"FIN",8962,4120,4842,200.150721944,-257.10633982,-56.955617876
"FIN",8762,4251,4511,206.386634534,-238.64711268,-32.260478146
"FIN",8976,4740,4236,253.54920542,-208.18476674,45.36443868
"FIN",8730,4230,4500,225.727022744,-221.44960062,4.277422124
"FIN",8689,4378,4311,223.215616107,-222.06804778,1.147568327
"FIN",8828,4986,3842,264.753371827,-191.23558852,73.517783307
"FIN",8807,4461,4346,212.748604174,-239.45683888,-26.708234706
"FIN",8749,4076,4673,199.54681204,-247.87215038,-48.32533834
"FIN",8742,4267,4475,213.765944594,-232.53040862,-18.764464026
"FIN",8922,4746,4176,270.508583927,-194.88234232,75.626241607
"FIN",8655,4228,4427,200.015364614,-237.03618416,-37.020819546
"FIN",8826,4640,4186,250.791712044,-204.49400962,46.297702424
"FIN",8684,4469,4215,232.580861314,-214.51676996,18.064091354
"FIN",8837,4259,4578,204.123324287,-243.65877429,-39.535450003
"FIN",8747,4156,4591,209.165163227,-239.41480622,-30.249642993
"FIN",8862,4280,4582,215.669885757,-237.58538738,-21.915501623
"FIN",8621,5256,3365,274.319889044,-170.27969582,104.040193224
"FIN",8862,4943,3919,283.436485977,-183.25789912,100.178586857
"FIN",8650,3826,4824,185.194488557,-256.19181288,-70.997324323
"FIN",8755,4817,3938,256.398723807,-190.10107638,66.297647427
"FIN",8642,4709,3933,254.505561214,-193.78603456,60.719526654
"FIN",8871,4509,4362,227.737953477,-227.81406552,-0.076112043
"FIN",8865,4340,4525,212.556416794,-236.69773182,-24.141315026
"FIN",8771,4423,4348,226.702759214,-220.48516536,6.217593854
"FIN",8750,4760,3990,234.450604664,-210.93163606,23.518968604
"FIN",8833,4307,4526,220.033235004,-232.42619702,-12.392962016
"FIN",8622,4552,4070,227.702377914,-215.09846946,12.603908454
"FIN",8807,4099,4708,202.247566344,-250.37815012,-48.130583776
"FIN",8785,5035,3750,257.916994327,-193.69191032,64.225084007
"FIN",8728,4843,3885,243.455646644,-201.14809102,42.307555624
"CHS",8622,4366,4256,225.824453527,-213.38152357,12.442929957
"CHS",8536,3962,4574,204.310507357,-232.44225553,-28.131748173
"CHS",8657,4705,3952,248.851137357,-194.50810413,54.343033227
"CHS",8691,4509,4182,231.063697827,-210.79401877,20.269679057
"CHS",8733,3841,4892,197.365166544,-246.74730902,-49.382142476
"CHS",8687,4438,4249,231.309031027,-216.56035657,14.748674457
"CHS",8555,4349,4206,225.625849814,-213.74835886,11.877490954
"CHS",8666,4652,4014,243.76930477,-198.64041524,45.12888953
