"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"FIN",11723,5769,5954,278.656519414,-310.88348516,-32.226965746
"FIN",11927,6534,5393,346.55038091,-257.37500018,89.17538073
"FIN",11642,5776,5866,306.025823124,-282.3348293,23.690993824
"FIN",11640,5687,5953,286.998523197,-302.47543852,-15.476915323
"FIN",11800,6553,5247,341.634428607,-258.5364523,83.097976307
"FIN",11730,6091,5639,291.646006054,-303.01919456,-11.373188506
"FIN",11632,5490,6142,270.01732963,-318.84400622,-48.82667659
"FIN",11687,5755,5932,285.692265784,-304.42896566,-18.736699876
"FIN",11916,6363,5553,357.254327617,-255.00072316,102.253604457
"FIN",11564,5687,5877,267.235479494,-309.85539644,-42.619916946
"FIN",11759,6164,5595,332.304915634,-267.21575776,65.089157874
"FIN",11623,6007,5616,305.171090194,-286.08898764,19.082102554
"FIN",11724,5826,5898,275.186110067,-312.06427997,-36.878169903
"FIN",11714,5737,5977,287.072894507,-305.7475126,-18.674618093
"FIN",11752,5745,6007,289.089941537,-305.64209876,-16.552157223
"FIN",11548,7042,4506,360.451093924,-227.1354975,133.315596424
"FIN",11883,6517,5366,363.590719567,-250.65823056,112.932489007
"FIN",11584,5217,6367,256.455152837,-328.58881326,-72.133660423
"FIN",11786,6512,5274,342.197091987,-251.53860036,90.658491627
"FIN",11571,6296,5275,330.180844594,-261.46708394,68.713760654
"FIN",11877,6088,5789,303.019093157,-298.9951895,4.023903657
"FIN",11888,5786,6102,278.902146074,-316.6092262,-37.707080126
"FIN",11708,5931,5777,301.363290504,-289.9936542,11.369636304
"FIN",11693,6337,5356,310.909953244,-277.89668174,33.013271504
"FIN",11757,5820,5937,294.392030294,-301.67033496,-7.278304666
"FIN",11480,6267,5213,307.571118704,-275.2935866,32.277532104
"FIN",11829,5534,6295,268.834890634,-331.48359926,-62.648708626
"FIN",11716,6697,5019,339.288665607,-255.4738571,83.814808507
"FIN",11639,6381,5258,319.324193434,-266.91397876,52.410214674
"CHS",11630,5978,5652,309.870148307,-275.51007865,34.360069657
"CHS",11498,5416,6082,277.081013637,-301.50220161,-24.421187973
"CHS",11671,6421,5250,338.920349137,-250.27013751,88.650211627
"CHS",11679,6184,5495,315.729763607,-271.06928215,44.660481457
"CHS",11683,5221,6462,269.352869924,-317.3771184,-48.024248476
"CHS",11638,5964,5674,313.857594307,-276.92241495,36.935179357
"CHS",11515,6074,5441,315.158572194,-267.04991194,48.108660254
"CHS",11674,6347,5327,333.45376245,-254.36293832,79.09082413
"CHS",11596,5802,5794,302.299280817,-286.45415711,15.845123707
"CHS",11665,6062,5603,316.931698237,-271.18548666,45.746211577
"CHS",11715,6456,5259,342.269718507,-254.2864607,87.983257807
"CHS",11597,5646,5951,290.136601854,-295.24566806,-5.109066206
"CHS",11669,5239,6430,287.346559007,-303.6306958,-16.284136793
"CHS",11518,5432,6086,282.473296707,-297.06264995,-14.589353243
"CHS",11647,6079,5568,320.70623882,-265.41529936,55.29093946
"CHS",11515,6003,5512,315.115890037,-265.74077731,49.375112727
"CHS",11613,6523,5090,345.989300337,-240.19766361,105.791636727
"CHS",11409,4991,6418,260.050540694,-313.38851154,-53.337970846
"CHS",11594,6077,5517,316.547986234,-271.25807536,45.289910874
"CHS",11674,5901,5773,292.168033794,-296.06137494,-3.893341146
"CHS",11540,6142,5398,322.384274037,-264.64739856,57.736875477
"CHS",11649,5817,5832,295.446424617,-294.79600096,0.650423657
"CHS",11603,6368,5235,345.28691425,-245.49755487,99.78935938
"CHS",11507,5449,6058,289.385995034,-291.29657686,-1.910581826
"CHS",11685,6298,5387,335.314673574,-259.905638,75.409035574
"CHS",11541,5668,5873,284.210910107,-297.89359995,-13.682689843
"CHS",11476,6077,5399,307.47662372,-268.94508471,38.53153901
"CHS",11443,6011,5432,312.70907692,-262.69427456,50.01480236
"CHS",11515,5801,5714,311.080722127,-269.89873562,41.181986507
"CHS",11732,5820,5912,300.69641902,-290.94365951,9.75275951
"CHS",11463,5896,5567,309.875418324,-265.9963293,43.879089024
"CHS",11688,6089,5599,324.86340416,-265.88822428,58.97517988
"CHS",11533,6156,5377,343.694183537,-242.28215031,101.412033227
"CHS",11756,6486,5270,347.458409624,-251.847917,95.610492624
"CHS",11593,5866,5727,321.734045104,-270.247013,51.487032104
"CHS",11545,6234,5311,334.653752894,-248.15477104,86.498981854
"CHS",11641,6123,5518,327.305980137,-260.49401191,66.811968227
"CHS",11576,6106,5470,315.404008894,-268.03836474,47.365644154
"CHS",11611,6334,5277,327.580883967,-255.73643477,71.844449197
"CHS",11533,5887,5646,297.770860907,-281.4880776,16.282783307
"CHS",11548,6082,5466,316.330794037,-266.53629041,49.794503627
"CHS",11841,6795,5046,381.09220745,-219.64625672,161.44595073
"PUR",11702,6899,4803,348.177484717,-244.36520051,103.812284207
"PUR",11584,5944,5640,282.854356617,-302.55796521,-19.703608593
"PUR",11805,6165,5640,332.274474417,-267.97200451,64.302469907
"CHS",11598,6124,5474,324.404335207,-261.01405855,63.390276657
"CHS",11678,5747,5931,310.525250694,-278.82434714,31.700903554
"CHS",11692,6014,5678,321.999907837,-269.31698516,52.682922677
"CHS",11775,6029,5746,327.282708157,-270.12163498,57.161073177
"CHS",11649,5784,5865,314.117552894,-276.63198394,37.485568954
"CHS",11693,6222,5471,332.172469124,-260.7715898,71.400879324
"CHS",11714,5689,6025,308.69599215,-284.94210312,23.75388903
"CHS",11633,6165,5468,320.766716194,-264.16636864,56.600347554
"CHS",11699,5865,5834,309.136670137,-282.03079011,27.105880027
"CHS",11531,6300,5231,333.710835687,-251.74287604,81.967959647
"CHS",11550,5927,5623,309.152795107,-279.36679845,29.785996657
"CHS",11635,6195,5440,338.128905747,-251.86928087,86.259624877
"CHS",11588,5514,6074,274.601812424,-309.6103442,-35.008531776
"CHS",11498,5878,5620,310.075984404,-274.5162202,35.559764204
"CHS",11613,5723,5890,298.080128494,-291.87529524,6.204833254
"CHS",11538,6015,5523,322.874366454,-260.75820466,62.116161794
"CHS",11608,5202,6406,280.668389937,-302.88242111,-22.214031173
"CHS",11685,5487,6198,279.147425007,-307.2648928,-28.117467793
"CHS",11612,6031,5581,315.908826607,-273.48630395,42.422522657
"CHS",11535,5726,5809,303.669183337,-277.49002286,26.179160477
"CHS",11653,6341,5312,344.825274747,-242.84681502,101.978459727
"CHS",11547,5469,6078,279.85956328,-299.85003658,-19.9904733
"CHS",11696,6460,5236,337.20252282,-255.66377956,81.53874326
"CHS",11493,5816,5677,288.504754507,-292.161383,-3.656628493
"CHS",11650,5818,5832,308.326763207,-276.02194,32.304823207
"CHS",11613,5655,5958,300.682746637,-288.80920351,11.873543127
"CHS",11634,5981,5653,311.961719937,-276.75805456,35.203665377
"CHS",11577,5675,5902,300.408720807,-284.7210573,15.687663507
"CHS",11581,6617,4964,351.360904494,-237.97215794,113.388746554
"CHS",11521,5735,5786,311.185086354,-275.92055016,35.264536194
"CHS",11565,5812,5753,300.552228567,-284.17309772,16.379130847
"CHS",11576,6576,5000,350.30681572,-235.00249326,115.30432246
"CHS",11595,6232,5363,343.20089366,-245.37336538,97.82752828
"CHS",11561,5741,5820,308.410476094,-274.64382104,33.766655054
"CHS",11461,6216,5245,310.430360694,-269.11539344,41.314967254
"PUR",11697,5486,6211,260.25940312,-327.20427476,-66.94487164
"PUR",11756,6214,5542,318.02870397,-281.60564839,36.42305558
"PUR",11825,6310,5515,327.85995701,-267.76649387,60.09346314
"PUR",11562,6022,5540,308.780477347,-276.66182312,32.118654227
"CHS",11557,5772,5785,305.433115207,-275.6501506,29.782964607
"CHS",11612,5352,6260,286.56800895,-299.46658297,-12.89857402
"CHS",11684,5862,5822,300.118029107,-284.25173195,15.866297157
"CHS",11581,6135,5446,313.623606517,-269.33795486,44.285651657
"CHS",11727,5573,6154,304.459277224,-291.0448415,13.414435724
"CHS",11554,5957,5597,308.86612142,-278.90777256,29.95834886
"CHS",11542,5674,5868,270.531077694,-309.40191014,-38.870832446
"CHS",11695,5889,5806,319.631991594,-274.17258334,45.459408254
"CHS",11780,6249,5531,327.84759695,-268.38810292,59.45949403
"CHS",11593,5989,5604,299.93718262,-283.38275351,16.55442911
"CHS",11532,5589,5943,287.031781224,-290.7671636,-3.735382376
"CHS",11733,5785,5948,306.849308624,-283.2394167,23.609891924
"CHS",11495,5390,6105,282.73017425,-293.50148438,-10.77131013
"CHS",11589,5719,5870,301.497791147,-279.24095857,22.256832577
