"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"CHS",213,103,110,4.70322,-4.82387,-0.12065
"CHS",220,104,116,4.70243,-4.98752,-0.28509
"CHS",225,101,124,4.66474,-5.3763,-0.71156
"CHS",214,95,119,4.33317,-5.19411,-0.86094
"CHS",216,103,113,4.64465,-4.87078,-0.22613
"CHS",221,101,120,4.58382,-5.22895,-0.64513
"CHS",219,100,119,4.63243,-5.16736,-0.53493
"CHS",215,101,114,4.57958,-4.90776,-0.32818
"CHS",221,100,121,4.52306,-5.31238,-0.78932
"CHS",209,99,110,4.45945,-4.86895,-0.4095
"CHS",219,102,117,4.62806,-5.09377,-0.46571
"CHS",224,104,120,4.7076,-5.14783,-0.44023
"CHS",227,99,128,4.47066,-5.41111,-0.94045
"CHS",215,102,113,4.73558,-4.96374,-0.22816
"CHS",238,112,126,5.11638,-5.44032,-0.32394
"CHS",221,101,120,4.6412,-5.27788,-0.63668
"CHS",224,100,124,4.55408,-5.34391,-0.78983
"CHS",237,114,123,5.17528,-5.32263,-0.14735
"CHS",230,97,133,4.38192,-5.70206,-1.32014
"CHS",218,100,118,4.62497,-5.09394,-0.46897
"CHS",212,99,113,4.53014,-4.94747,-0.41733
"CHS",238,114,124,5.01988,-5.46885,-0.44897
"CHS",228,106,122,4.76172,-5.29998,-0.53826
"CHS",227,100,127,4.61501,-5.54058,-0.92557
"CHS",223,106,117,4.80155,-5.00279,-0.20124
"CHS",222,104,118,4.7394,-5.06986,-0.33046
"CHS",223,105,118,4.70943,-5.18083,-0.4714
"CHS",211,95,116,4.35592,-5.01701,-0.66109
"CHS",220,103,117,4.82343,-5.14794,-0.32451
"CHS",230,101,129,4.64826,-5.5952,-0.94694
"CHS",214,97,117,4.46654,-4.90191,-0.43537
"CHS",222,107,115,4.97461,-5.07316,-0.09855
"PUR",246,119,127,5.31195,-5.51325,-0.2013
"PUR",207,101,106,4.63979,-4.71768,-0.07789
"PUR",217,102,115,4.62389,-5.02697,-0.40308
"CHS",213,100,113,4.56868,-4.84186,-0.27318
"CHS",232,110,122,5.02561,-5.21358,-0.18797
"CHS",226,107,119,4.77398,-5.14841,-0.37443
"CHS",227,102,125,4.70415,-5.51972,-0.81557
"CHS",215,96,119,4.43218,-5.094,-0.66182
"CHS",220,100,120,4.56237,-5.17644,-0.61407
"CHS",221,101,120,4.54961,-5.30929,-0.75968
"CHS",230,102,128,4.6243,-5.49446,-0.87016
"CHS",234,107,127,4.97274,-5.50574,-0.533
"CHS",219,100,119,4.53792,-5.13913,-0.60121
"CHS",228,106,122,4.86515,-5.29429,-0.42914
"CHS",219,94,125,4.23393,-5.31159,-1.07766
"CHS",224,99,125,4.58741,-5.56486,-0.97745
"CHS",222,98,124,4.52092,-5.41394,-0.89302
"CHS",208,98,110,4.5896,-4.86409,-0.27449
"CHS",224,107,117,4.96756,-5.12003,-0.15247
"CHS",219,101,118,4.64233,-5.12409,-0.48176
"CHS",232,105,127,4.7175,-5.56039,-0.84289
"CHS",228,108,120,4.76706,-5.3112,-0.54414
"CHS",213,99,114,4.5399,-4.9409,-0.401
"CHS",227,104,123,4.7478,-5.28055,-0.53275
"CHS",215,93,122,4.1926,-5.28135,-1.08875
"CHS",218,101,117,4.66983,-5.06259,-0.39276
"CHS",226,102,124,4.66374,-5.40811,-0.74437
"CHS",223,99,124,4.49049,-5.36585,-0.87536
"CHS",227,110,117,4.99792,-5.1186,-0.12068
"CHS",213,96,117,4.41403,-5.0117,-0.59767
"CHS",213,106,107,4.84542,-4.67491,0.17051
"CHS",241,116,125,5.20183,-5.30143,-0.0996
"CHS",208,93,115,4.30978,-4.98863,-0.67885
"CHS",222,96,126,4.35946,-5.50839,-1.14893
"CHS",218,101,117,4.65345,-5.03594,-0.38249
"CHS",211,98,113,4.52367,-5.0211,-0.49743
"CHS",215,102,113,4.64338,-4.82395,-0.18057
"CHS",212,102,110,4.6139,-4.81066,-0.19676
"PUR",237,108,129,4.80275,-5.83777,-1.03502
"PUR",206,97,109,4.56311,-4.75288,-0.18977
"PUR",215,104,111,4.74006,-4.88145,-0.14139
"PUR",219,103,116,4.70343,-5.02936,-0.32593
"CHS",209,97,112,4.45061,-4.76366,-0.31305
"CHS",204,100,104,4.63147,-4.54273,0.08874
"CHS",229,109,120,4.93411,-5.22701,-0.2929
"CHS",219,97,122,4.39551,-5.37493,-0.97942
"CHS",224,108,116,4.8249,-5.03226,-0.20736
"CHS",218,97,121,4.54092,-5.32966,-0.78874
"CHS",222,105,117,4.85648,-5.24196,-0.38548
"CHS",223,103,120,4.74672,-5.24278,-0.49606
"CHS",225,107,118,4.80366,-5.22036,-0.4167
"CHS",218,100,118,4.64986,-5.03552,-0.38566
"CHS",219,98,121,4.63173,-5.26712,-0.63539
"CHS",223,104,119,4.8302,-5.13633,-0.30613
"CHS",217,95,122,4.40391,-5.2463,-0.84239
"CHS",219,94,125,4.3228,-5.49289,-1.17009
"CHS",217,99,118,4.46277,-5.12524,-0.66247
"CHS",228,103,125,4.88533,-5.54682,-0.66149
"CHS",231,97,134,4.49965,-5.86298,-1.36333
"CHS",230,103,127,4.6225,-5.44551,-0.82301
"CHS",228,101,127,4.64674,-5.62555,-0.97881
"CHS",215,100,115,4.67997,-4.90782,-0.22785
"CHS",221,100,121,4.72003,-5.23596,-0.51593
"CHS",221,101,120,4.69101,-5.25513,-0.56412
"CHS",226,103,123,4.59711,-5.29832,-0.70121
"CHS",203,90,113,4.23796,-4.95799,-0.72003
"CHS",225,105,120,4.9686,-5.26513,-0.29653
"CHS",213,95,118,4.37187,-5.06507,-0.6932
"CHS",208,99,109,4.59686,-4.75426,-0.1574
"CHS",219,86,133,4.04095,-5.87207,-1.83112
"PUR",228,109,119,4.96564,-5.16075,-0.19511
"PUR",223,105,118,4.76632,-5.08927,-0.32295
"PUR",209,100,109,4.5094,-4.74432,-0.23492
"PUR",225,106,119,4.69323,-5.22112,-0.52789
"PUR",214,99,115,4.4213,-5.15344,-0.73214
"PUR",229,97,132,4.50334,-5.90949,-1.40615
"PUR",226,106,120,4.88623,-5.32389,-0.43766
"PUR",231,115,116,5.16422,-5.13548,0.02874
"PUR",219,103,116,4.61372,-5.09271,-0.47899
"CDX",234,107,127,4.84409,-5.52961,-0.68552
"CDX",217,97,120,4.46234,-5.13444,-0.6721
"CDX",217,102,115,4.66004,-4.91597,-0.25593
"CDX",225,95,130,4.32354,-5.61109,-1.28755
"CDX",214,98,116,4.46863,-5.01759,-0.54896
"CDX",221,103,118,4.56997,-5.16732,-0.59735
"CDX",211,102,109,4.57601,-4.80235,-0.22634
"CDX",217,97,120,4.26141,-5.17366,-0.91225
"CDX",213,93,120,4.17477,-5.24816,-1.07339
"CDX",228,107,121,4.811,-5.29866,-0.48766
"CDX",211,99,112,4.4457,-4.82452,-0.37882
"CDX",221,101,120,4.57882,-5.07812,-0.4993
"CDX",231,110,121,5.03152,-5.25222,-0.2207
"CDX",227,102,125,4.71964,-5.46356,-0.74392
"CDX",212,102,110,4.64609,-4.70432,-0.05823
"PUR",223,107,116,4.85155,-5.14814,-0.29659
"PUR",229,109,120,4.89575,-5.42756,-0.53181
"PUR",226,103,123,4.52799,-5.53736,-1.00937
"PUR",216,102,114,4.52221,-4.96341,-0.4412
"PUR",236,112,124,5.03922,-5.43006,-0.39084
"PUR",205,96,109,4.35697,-5.07562,-0.71865
"PUR",215,102,113,4.77893,-4.94242,-0.16349
"PUR",202,100,102,4.75427,-4.55811,0.19616
"PUR",221,104,117,4.73926,-5.43517,-0.69591
"PUR",233,114,119,5.1548,-5.26665,-0.11185
"PUR",227,108,119,4.73314,-5.21485,-0.48171
"PUR",230,110,120,5.07139,-5.2233,-0.15191
"PUR",221,116,105,5.29178,-4.64247,0.64931
"PUR",215,110,105,4.90119,-4.6744,0.22679
"PUR",224,106,118,4.78338,-5.37225,-0.58887
"PUR",238,111,127,5.03429,-5.66685,-0.63256
"PUR",224,113,111,5.07628,-4.94046,0.13582
"PUR",214,104,110,4.62605,-4.8505,-0.22445
"PUR",223,102,121,4.74004,-5.47812,-0.73808
"PUR",215,100,115,4.51441,-5.11899,-0.60458
"PUR",227,114,113,5.15091,-4.91582,0.23509
"PUR",216,95,121,4.29033,-5.38637,-1.09604
"PUR",215,100,115,4.5417,-5.24348,-0.70178
"PUR",230,113,117,5.03308,-5.13661,-0.10353
"PUR",230,115,115,5.18677,-5.19999,-0.01322
"PUR",220,99,121,4.60045,-5.30165,-0.7012
"PUR",221,102,119,4.85278,-5.30178,-0.449
"PUR",218,99,119,4.5669,-5.26131,-0.69441
"PUR",213,93,120,4.27536,-5.19944,-0.92408
"PUR",226,105,121,4.73135,-5.19748,-0.46613
"PUR",227,106,121,4.78468,-5.31051,-0.52583
"PUR",212,96,116,4.48026,-5.09195,-0.61169
"PUR",223,109,114,4.90612,-5.00553,-0.09941
"PUR",238,111,127,4.93073,-5.50602,-0.57529
"PUR",222,107,115,4.81687,-4.91813,-0.10126
"PUR",222,98,124,4.37089,-5.40976,-1.03887
"PUR",205,101,104,4.52828,-4.75594,-0.22766
"PUR",214,99,115,4.72417,-5.00811,-0.28394
"PUR",209,95,114,4.39166,-5.06484,-0.67318
"PUR",206,92,114,4.2044,-5.07049,-0.86609
"PUR",215,98,117,4.43343,-5.23726,-0.80383
"CLM",233,111,122,5.2381,-5.27343,-0.0353300000000001
"CLM",223,97,126,4.44949,-5.53494,-1.08545
"CLM",214,95,119,4.41087,-5.2477,-0.83683
"CLM",213,88,125,4.01203,-5.39015,-1.37812
"CLM",211,88,123,4.01884,-5.378,-1.35916
"CLM",242,116,126,5.17055,-5.45862,-0.28807
"CLM",234,102,132,4.69624,-5.69549,-0.99925
"CLM",224,95,129,4.32154,-5.62976,-1.30822
"CLM",228,103,125,4.73613,-5.58332,-0.84719
"CLM",231,112,119,5.03789,-5.35,-0.31211
"CLM",217,96,121,4.38367,-5.33806,-0.95439
"CLM",222,102,120,4.65306,-5.317,-0.66394
"CLM",219,101,118,4.63301,-5.21056,-0.57755
"CLM",238,121,117,5.44596,-5.21529,0.23067
"CLM",213,95,118,4.44638,-5.28036,-0.83398
"CLM",227,99,128,4.4014,-5.61482,-1.21342
"CLM",226,107,119,4.74128,-5.14464,-0.40336
"CLM",210,98,112,4.52597,-4.94134,-0.41537
"PUR",222,103,119,4.64034,-5.20989,-0.56955
"PUR",226,106,120,4.71937,-5.48474,-0.76537
"PUR",223,109,114,4.88389,-5.02716,-0.14327
"PUR",221,99,122,4.45048,-5.39122,-0.94074
"PUR",227,107,120,4.86285,-5.42153,-0.55868
"PUR",227,114,113,5.15039,-4.97366,0.17673
"PUR",212,101,111,4.54843,-4.8612,-0.31277
"PUR",239,103,136,4.58519,-6.06153,-1.47634
"PUR",219,105,114,4.70187,-5.14641,-0.44454
"PUR",214,105,109,4.65559,-4.78311,-0.12752
"PUR",239,122,117,5.52155,-5.18706,0.33449
"PUR",221,102,119,4.69682,-5.24179,-0.54497
"PUR",213,99,114,4.6088,-5.05047,-0.44167
"PUR",231,105,126,4.65052,-5.66277,-1.01225
"PUR",224,102,122,4.60328,-5.47365,-0.87037
"PUR",205,98,107,4.40418,-4.71806,-0.31388
"PUR",234,111,123,5.15631,-5.43162,-0.27531
"PUR",220,108,112,4.87971,-4.96137,-0.08166
"PUR",220,106,114,4.80902,-5.1637,-0.35468
"PUR",220,112,108,5.08064,-4.89188,0.18876
"PUR",227,103,124,4.7609,-5.37756,-0.61666
"PUR",224,104,120,4.67993,-5.37193,-0.692
"PUR",211,91,120,4.01447,-5.28902,-1.27455
"PUR",222,104,118,4.70787,-5.14057,-0.4327
"PUR",214,95,119,4.4507,-5.29554,-0.84484
"PUR",247,123,124,5.6163,-5.38634,0.22996
"CLM",226,101,125,4.5166,-5.44687,-0.93027
"CLM",225,104,121,4.71701,-5.27778,-0.56077
"CLM",217,107,110,4.83094,-4.86609,-0.03515
"CLM",219,100,119,4.67269,-5.24958,-0.57689
"CLM",224,109,115,5.081,-5.03326,0.04774
"CLM",227,105,122,4.76961,-5.42254,-0.65293
"CLM",218,96,122,4.34418,-5.17383,-0.82965
"CLM",233,109,124,4.96832,-5.41366,-0.44534
"CLM",239,107,132,4.80584,-5.7947,-0.98886
"CLM",226,111,115,4.91892,-5.14413,-0.22521
"CLM",216,101,115,4.4909,-5.00339,-0.51249
"CLM",221,101,120,4.61961,-5.31564,-0.69603
"CLM",225,99,126,4.5257,-5.42308,-0.89738
"CLM",227,102,125,4.62952,-5.49823,-0.86871
"CLM",221,98,123,4.44993,-5.42507,-0.97514
"CLM",229,110,119,5.08746,-5.06964,0.01782
"PUR",213,106,107,4.74201,-4.73574,0.00626999999999999
"PUR",215,97,118,4.30521,-5.26812,-0.96291
"PUR",218,111,107,5.09886,-4.78805,0.31081
"PUR",233,113,120,5.12414,-5.17788,-0.05374
"PUR",222,103,119,4.71569,-5.21273,-0.49704
"PUR",204,95,109,4.31481,-4.72453,-0.40972
"PUR",236,111,125,5.04165,-5.57224,-0.53059
"PUR",228,105,123,4.64543,-5.49896,-0.85353
"PUR",218,111,107,5.14439,-4.68874,0.45565
"PUR",203,103,100,4.65542,-4.40596,0.24946
"GBR",227,119,108,5.40547,-4.81883,0.58664
"CLM",230,93,137,4.32966,-5.99477,-1.66511
"CLM",215,88,127,3.87,-5.55897,-1.68897
"CLM",221,106,115,4.78422,-5.00559,-0.22137
"CLM",229,105,124,4.61651,-5.47169,-0.85518
"CLM",221,94,127,4.23314,-5.63887,-1.40573
"CLM",214,98,116,4.4949,-5.11385,-0.61895
"CLM",233,104,129,4.81014,-5.66358,-0.85344
"CLM",231,105,126,4.74413,-5.29346,-0.54933
"CLM",229,95,134,4.15946,-5.79922,-1.63976
"CLM",229,110,119,5.03021,-5.32327,-0.29306
"CLM",209,92,117,4.29238,-5.12426,-0.83188
"CLM",242,110,132,5.02789,-5.75608,-0.72819
"CLM",234,106,128,4.82172,-5.60685,-0.78513
"CLM",213,92,121,4.27974,-5.16772,-0.88798
"CLM",226,103,123,4.69806,-5.42075,-0.72269
"CLM",231,111,120,4.93484,-5.33841,-0.40357
"CLM",211,99,112,4.45519,-4.85487,-0.39968
"CLM",216,98,118,4.47283,-5.17847,-0.70564
"CLM",221,97,124,4.37116,-5.42855,-1.05739
"CLM",223,101,122,4.65388,-5.34963,-0.69575
"CLM",222,101,121,4.56302,-5.29832,-0.7353
"CLM",212,101,111,4.65345,-4.90472,-0.25127
"CLM",225,103,122,4.7292,-5.34081,-0.61161
"CLM",219,101,118,4.50954,-5.40135,-0.89181
"CLM",235,116,119,5.21617,-5.29093,-0.07476
"CLM",216,100,116,4.533,-5.12811,-0.59511
"CLM",219,104,115,4.60928,-5.18524,-0.57596
"PUR",223,103,120,4.65534,-5.54467,-0.88933
"PUR",225,104,121,4.69564,-5.43273,-0.73709
