"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"CDX",56,24,32,1.0455,-1.36396,-0.31846
"CDX",53,27,26,1.12039,-1.17466,-0.05427
"CDX",56,23,33,1.02238,-1.45233,-0.42995
"CDX",57,28,29,1.19406,-1.32646,-0.1324
"CDX",63,30,33,1.2571,-1.41976,-0.16266
"CDX",54,26,28,1.07031,-1.27774,-0.20743
"CDX",53,20,33,0.85166,-1.45536,-0.6037
"CDX",58,23,35,0.99706,-1.49567,-0.49861
"CDX",64,33,31,1.37577,-1.31693,0.05884
"CDX",58,25,33,1.10855,-1.46214,-0.35359
"CDX",60,24,36,1.02544,-1.58792,-0.56248
"CDX",66,31,35,1.35307,-1.52408,-0.17101
"CDX",57,28,29,1.23574,-1.28147,-0.04573
"CDX",49,22,27,0.94362,-1.23763,-0.29401
"PUR",58,30,28,1.27895,-1.26074,0.01821
"PUR",73,36,37,1.54264,-1.69996,-0.15732
"PUR",59,29,30,1.2136,-1.34185,-0.12825
"PUR",61,31,30,1.29326,-1.29367,-0.000410000000000039
"PUR",66,35,31,1.42046,-1.39219,0.0282699999999999
"PUR",62,32,30,1.3239,-1.35849,-0.03459
"PUR",62,30,32,1.29993,-1.47916,-0.17923
"PUR",54,27,27,1.15696,-1.28513,-0.12817
"PUR",63,28,35,1.28157,-1.65782,-0.37625
"PUR",69,34,35,1.38083,-1.52257,-0.14174
"PUR",58,30,28,1.15834,-1.24449,-0.08615
"PUR",63,26,37,1.10367,-1.62381,-0.52014
"PUR",61,35,26,1.49128,-1.20004,0.29124
"PUR",53,30,23,1.27838,-1.05839,0.21999
"PUR",56,26,30,1.09017,-1.43591,-0.34574
"PUR",62,29,33,1.18469,-1.49869,-0.314
"PUR",64,33,31,1.44033,-1.42173,0.0186
"PUR",62,36,26,1.41646,-1.21578,0.20068
"PUR",63,30,33,1.24546,-1.51535,-0.26989
"PUR",64,31,33,1.3193,-1.4041,-0.0848
"PUR",60,30,30,1.25724,-1.33487,-0.07763
"PUR",56,27,29,1.12864,-1.293,-0.16436
"PUR",49,23,26,0.91228,-1.24495,-0.33267
"PUR",74,38,36,1.58909,-1.59031,-0.00122000000000003
"PUR",61,31,30,1.2827,-1.42817,-0.14547
"PUR",59,28,31,1.17193,-1.44528,-0.27335
"PUR",62,28,34,1.12353,-1.48565,-0.36212
"PUR",57,24,33,1.06004,-1.47981,-0.41977
"PUR",58,27,31,1.12158,-1.34035,-0.21877
"PUR",62,28,34,1.179,-1.46766,-0.28866
"PUR",58,28,30,1.16998,-1.39741,-0.22743
"PUR",60,31,29,1.34091,-1.30628,0.0346299999999999
"PUR",61,31,30,1.24977,-1.29673,-0.04696
"PUR",68,37,31,1.55343,-1.31076,0.24267
"PUR",54,26,28,1.08349,-1.21411,-0.13062
"PUR",62,31,31,1.24059,-1.34678,-0.10619
"PUR",57,26,31,1.1244,-1.44027,-0.31587
"PUR",63,31,32,1.47328,-1.46265,0.01063
"PUR",59,25,34,1.12778,-1.48885,-0.36107
"PUR",56,30,26,1.28701,-1.16732,0.11969
"PUR",55,28,27,1.14452,-1.19326,-0.04874
"CLM",66,34,32,1.53709,-1.42871,0.10838
"CLM",64,31,33,1.32626,-1.47362,-0.14736
"CLM",57,31,26,1.3542,-1.15213,0.20207
"CLM",52,19,33,0.80684,-1.41248,-0.60564
"CLM",50,23,27,0.94193,-1.25568,-0.31375
"CLM",69,38,31,1.61748,-1.41639,0.20109
"CLM",63,29,34,1.27022,-1.54356,-0.27334
"CLM",65,30,35,1.28645,-1.57228,-0.28583
"CLM",70,30,40,1.29385,-1.78976,-0.49591
"CLM",64,33,31,1.41103,-1.42301,-0.01198
"CLM",61,26,35,1.10648,-1.52634,-0.41986
"CLM",64,32,32,1.3634,-1.38475,-0.02135
"CLM",55,25,30,1.02401,-1.33259,-0.30858
"CLM",65,36,29,1.5194,-1.25002,0.26938
"CLM",61,27,34,1.2695,-1.50085,-0.23135
"CLM",63,31,32,1.33134,-1.44471,-0.11337
"CLM",55,28,27,1.16493,-1.2055,-0.0405700000000001
"CLM",59,24,35,1.07209,-1.57394,-0.50185
"PUR",63,32,31,1.31059,-1.321,-0.01041
"PUR",57,26,31,1.06369,-1.37093,-0.30724
"PUR",59,27,32,1.18691,-1.4021,-0.21519
"PUR",57,26,31,1.10611,-1.38236,-0.27625
"PUR",61,29,32,1.23702,-1.46752,-0.2305
"PUR",48,25,23,0.9998,-1.08779,-0.0879900000000001
"PUR",51,27,24,1.09783,-1.05887,0.03896
"PUR",61,23,38,0.94648,-1.65508,-0.7086
"PUR",70,36,34,1.47222,-1.50964,-0.0374200000000001
"PUR",56,25,31,1.07191,-1.4453,-0.37339
"PUR",66,35,31,1.48719,-1.32334,0.16385
"PUR",47,25,22,1.07538,-1.00511,0.07027
"PUR",54,21,33,0.90671,-1.4887,-0.58199
"PUR",68,27,41,1.08684,-1.78188,-0.69504
"PUR",63,28,35,1.20363,-1.52942,-0.32579
"PUR",48,23,25,0.96088,-1.10614,-0.14526
"PUR",70,36,34,1.52084,-1.46069,0.0601499999999999
"PUR",63,31,32,1.31744,-1.41519,-0.09775
"PUR",60,32,28,1.25584,-1.23461,0.02123
"PUR",62,30,32,1.21955,-1.38475,-0.1652
"PUR",63,29,34,1.28328,-1.52163,-0.23835
"PUR",59,28,31,1.15649,-1.36426,-0.20777
"PUR",52,20,32,0.83175,-1.36943,-0.53768
"PUR",58,24,34,1.04467,-1.51531,-0.47064
